biomarker;correlation_type;neurotransmitter;receptor;region_type;n;rho;pvalue;p_spin;pvalue_fdr;sig_fdr
fdg;delta_all;dopamine;D1;cortical;62;-0,1764;0,17009961;0,31968032;0,848484848;FALSE
fdg;delta_all;dopamine;D2;cortical;62;-0,0717;0,579759472;0,634365634;0,848484848;FALSE
fdg;delta_all;dopamine;DAT;cortical;62;0,1172;0,364426216;0,456543457;0,848484848;FALSE
fdg;delta_all;dopamine;D1;subcortical;19;0,307;0,201054032;;0,36223551;FALSE
fdg;delta_all;dopamine;D2;subcortical;19;0,2;0,411681013;;0,506684324;FALSE
fdg;delta_all;dopamine;DAT;subcortical;19;0,5175;0,023237901;;0,185903207;FALSE
fdg;delta_all;ach;VAChT;cortical;62;0,162;0,20827654;0,341658342;0,848484848;FALSE
fdg;delta_all;ach;M1;cortical;62;-0,0471;0,716127452;0,777222777;0,89396318;FALSE
fdg;delta_all;ach;A4B2;cortical;62;-0,0188;0,884619522;0,887112887;0,946253746;FALSE
fdg;delta_all;ach;VAChT;subcortical;19;0,1737;0,477017149;;0,52828383;FALSE
fdg;delta_all;ach;M1;subcortical;19;0,2982;0,214890107;;0,36223551;FALSE
fdg;delta_all;ach;A4B2;subcortical;19;-0,1667;0,495266091;;0,52828383;FALSE
fdg;delta_all;gaba;GABAa-bz;cortical;62;-0,0997;0,440736823;0,617382617;0,848484848;FALSE
fdg;delta_all;gaba;GABAa;cortical;62;-0,0481;0,710322976;0,782217782;0,89396318;FALSE
fdg;delta_all;gaba;GABAa-bz;subcortical;19;0,3158;0,187821456;;0,36223551;FALSE
fdg;delta_all;gaba;GABAa;subcortical;19;0,3509;0,140774956;;0,36223551;FALSE
fdg;delta_all;serotonin;5HT1a;cortical;62;-0,0747;0,564108392;0,616383616;0,848484848;FALSE
fdg;delta_all;serotonin;5HT1b;cortical;62;-0,0738;0,568597632;0,636363636;0,848484848;FALSE
fdg;delta_all;serotonin;5HT2a;cortical;62;-0,2639;0,038189103;0,093906094;0,375624376;FALSE
fdg;delta_all;serotonin;5HT4;cortical;62;-0,4418;0,000325018;0,012987013;0,181152181;FALSE
fdg;delta_all;serotonin;5HT6;cortical;62;0,0089;0,945331337;0,955044955;0,955044955;FALSE
fdg;delta_all;serotonin;5HTT;cortical;62;0,3729;0,00283889;0,030969031;0,181152181;FALSE
fdg;delta_all;serotonin;5HT1a;subcortical;19;0,3211;0,180168855;;0,36223551;FALSE
fdg;delta_all;serotonin;5HT1b;subcortical;19;0,6982;0,000884699;;0,014155186;TRUE
fdg;delta_all;serotonin;5HT2a;subcortical;19;0,2912;0,226397194;;0,36223551;FALSE
fdg;delta_all;serotonin;5HT4;subcortical;19;0,3018;0,20928288;;0,36223551;FALSE
fdg;delta_all;serotonin;5HT6;subcortical;19;0,2456;0,310792865;;0,452062349;FALSE
fdg;delta_all;serotonin;5HTT;subcortical;19;0,3877;0,100965151;;0,36223551;FALSE
fdg;delta_all;glutamate;mGluR5;cortical;62;-0,3344;0,00788912;0,033966034;0,181152181;FALSE
fdg;delta_all;glutamate;NMDA;cortical;62;0,098;0,448430458;0,587412587;0,848484848;FALSE
fdg;delta_all;glutamate;mGluR5;subcortical;19;0,2298;0,343880173;;0,458506898;FALSE
fdg;delta_all;glutamate;NMDA;subcortical;19;-0,0193;0,937497831;;0,937497831;FALSE
fdg;delta_declining;dopamine;D1;cortical;62;0,0008;0,99519543;0,997002997;0,997002997;FALSE
fdg;delta_declining;dopamine;D2;cortical;62;0,0585;0,651259177;0,734265734;0,977156177;FALSE
fdg;delta_declining;dopamine;DAT;cortical;62;0,2789;0,02816039;0,08991009;0,3004995;FALSE
fdg;delta_declining;dopamine;D1;subcortical;19;0,0053;0,982939261;;0,982939261;FALSE
fdg;delta_declining;dopamine;D2;subcortical;19;-0,0825;0,737180379;;0,982939261;FALSE
fdg;delta_declining;dopamine;DAT;subcortical;19;0,2404;0,321602437;;0,982939261;FALSE
fdg;delta_declining;ach;VAChT;cortical;62;0,2565;0,04419813;0,093906094;0,3004995;FALSE
fdg;delta_declining;ach;M1;cortical;62;0,0159;0,902441364;0,897102897;0,977156177;FALSE
fdg;delta_declining;ach;A4B2;cortical;62;-0,0162;0,90028773;0,916083916;0,977156177;FALSE
fdg;delta_declining;ach;VAChT;subcortical;19;-0,1509;0,53752721;;0,982939261;FALSE
fdg;delta_declining;ach;M1;subcortical;19;-0,1193;0,626648459;;0,982939261;FALSE
fdg;delta_declining;ach;A4B2;subcortical;19;0,0368;0,880970768;;0,982939261;FALSE
fdg;delta_declining;gaba;GABAa-bz;cortical;62;-0,056;0,66534838;0,738261738;0,977156177;FALSE
fdg;delta_declining;gaba;GABAa;cortical;62;0,0284;0,826680399;0,858141858;0,977156177;FALSE
fdg;delta_declining;gaba;GABAa-bz;subcortical;19;0,0298;0,903530416;;0,982939261;FALSE
fdg;delta_declining;gaba;GABAa;subcortical;19;0,1298;0,596302554;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT1a;cortical;62;0,0215;0,868077586;0,897102897;0,977156177;FALSE
fdg;delta_declining;serotonin;5HT1b;cortical;62;-0,015;0,907674503;0,913086913;0,977156177;FALSE
fdg;delta_declining;serotonin;5HT2a;cortical;62;-0,2788;0,028190019;0,055944056;0,298368298;FALSE
fdg;delta_declining;serotonin;5HT4;cortical;62;-0,3225;0,010587969;0,048951049;0,298368298;FALSE
fdg;delta_declining;serotonin;5HT6;cortical;62;0,095;0,462607451;0,517482517;0,977156177;FALSE
fdg;delta_declining;serotonin;5HTT;cortical;62;0,4761;9,19E-05;0,003996004;0,063936064;FALSE
fdg;delta_declining;serotonin;5HT1a;subcortical;19;0,0491;0,841711569;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT1b;subcortical;19;0,4035;0,086680812;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT2a;subcortical;19;0,0386;0,875343879;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT4;subcortical;19;-0,007;0,977253574;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT6;subcortical;19;-0,1298;0,596302554;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HTT;subcortical;19;0,3228;0,177665457;;0,982939261;FALSE
fdg;delta_declining;glutamate;mGluR5;cortical;62;-0,2163;0,091249147;0,114885115;0,306360306;FALSE
fdg;delta_declining;glutamate;NMDA;cortical;62;0,2242;0,079745589;0,157842158;0,360782075;FALSE
fdg;delta_declining;glutamate;mGluR5;subcortical;19;-0,1614;0,509171343;;0,982939261;FALSE
fdg;delta_declining;glutamate;NMDA;subcortical;19;-0,1526;0,532751727;;0,982939261;FALSE
fdg;baseline_all;dopamine;D1;cortical;62;-0,3986;0,001332631;0,078921079;0,21045621;FALSE
fdg;baseline_all;dopamine;D2;cortical;62;-0,674;1,91E-09;0,008991009;0,058608059;FALSE
fdg;baseline_all;dopamine;DAT;cortical;62;-0,5455;4,54E-06;0,02997003;0,11988012;FALSE
fdg;baseline_all;dopamine;D1;subcortical;19;0,486;0,034898352;;0,092557962;FALSE
fdg;baseline_all;dopamine;D2;subcortical;19;0,5737;0,010222581;;0,073434438;FALSE
fdg;baseline_all;dopamine;DAT;subcortical;19;0,2649;0,273051176;;0,397165346;FALSE
fdg;baseline_all;ach;VAChT;cortical;62;-0,0847;0,512582198;0,766233766;0,876837448;FALSE
fdg;baseline_all;ach;M1;cortical;62;0,2721;0,032404306;0,238761239;0,391608392;FALSE
fdg;baseline_all;ach;A4B2;cortical;62;0,367;0,003342908;0,244755245;0,391608392;FALSE
fdg;baseline_all;ach;VAChT;subcortical;19;0,5842;0,008624535;;0,073434438;FALSE
fdg;baseline_all;ach;M1;subcortical;19;0,4737;0,040494108;;0,092557962;FALSE
fdg;baseline_all;ach;A4B2;subcortical;19;0,2772;0,250588895;;0,397165346;FALSE
fdg;baseline_all;gaba;GABAa-bz;cortical;62;0,2641;0,038036602;0,21978022;0,391608392;FALSE
fdg;baseline_all;gaba;GABAa;cortical;62;0,0603;0,641747023;0,767232767;0,876837448;FALSE
fdg;baseline_all;gaba;GABAa-bz;subcortical;19;0,3667;0,1225606;;0,2451212;FALSE
