biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95
fdg,delta_all,dopamine,D1,cortical,62,-0.1764,0.1701,0.402108,False,-0.4146,0.0843
fdg,delta_all,dopamine,D2,cortical,62,-0.0717,0.579759,0.579759,False,-0.3227,0.1887
fdg,delta_all,dopamine,DAT,cortical,62,0.1172,0.364426,0.494017,False,-0.1441,0.3632
fdg,delta_all,dopamine,D1,subcortical,19,0.307,0.201054,0.402108,False,-0.1853,0.6761
fdg,delta_all,dopamine,D2,subcortical,19,0.2,0.411681,0.494017,False,-0.2931,0.6091
fdg,delta_all,dopamine,DAT,subcortical,19,0.5175,0.023238,0.139427,False,0.0682,0.7923
fdg,delta_all,ach,VAChT,cortical,62,0.162,0.208277,0.64467,False,-0.099,0.4022
fdg,delta_all,ach,M1,cortical,62,-0.0471,0.716127,0.859353,False,-0.3004,0.2124
fdg,delta_all,ach,A4B2,cortical,62,-0.0188,0.88462,0.88462,False,-0.2744,0.2393
fdg,delta_all,ach,VAChT,subcortical,19,0.1737,0.477017,0.742899,False,-0.3178,0.5916
fdg,delta_all,ach,M1,subcortical,19,0.2982,0.21489,0.64467,False,-0.1946,0.6708
fdg,delta_all,ach,A4B2,subcortical,19,-0.1667,0.495266,0.742899,False,-0.5869,0.3243
fdg,delta_all,gaba,GABAa-bz,cortical,62,-0.0997,0.440737,0.587649,False,-0.3477,0.1614
fdg,delta_all,gaba,GABAa,cortical,62,-0.0481,0.710323,0.710323,False,-0.3013,0.2114
fdg,delta_all,gaba,GABAa-bz,subcortical,19,0.3158,0.187821,0.375643,False,-0.1759,0.6814
fdg,delta_all,gaba,GABAa,subcortical,19,0.3509,0.140775,0.375643,False,-0.1374,0.702
fdg,delta_all,serotonin,5HT1a,cortical,62,-0.0747,0.564108,0.620288,False,-0.3254,0.1858
fdg,delta_all,serotonin,5HT1b,cortical,62,-0.0738,0.568598,0.620288,False,-0.3246,0.1867
fdg,delta_all,serotonin,5HT2a,cortical,62,-0.2639,0.038189,0.114567,False,-0.4878,-0.0075
fdg,delta_all,serotonin,5HT4,cortical,62,-0.4418,0.000325,0.0039,True,-0.6275,-0.2085
fdg,delta_all,serotonin,5HT6,cortical,62,0.0089,0.945331,0.945331,False,-0.2486,0.2652
fdg,delta_all,serotonin,5HTT,cortical,62,0.3729,0.002839,0.011356,True,0.1282,0.5747
fdg,delta_all,serotonin,5HT1a,subcortical,19,0.3211,0.180169,0.339596,False,-0.1702,0.6845
fdg,delta_all,serotonin,5HT1b,subcortical,19,0.6982,0.000885,0.005308,True,0.3445,0.8784
fdg,delta_all,serotonin,5HT2a,subcortical,19,0.2912,0.226397,0.339596,False,-0.202,0.6666
fdg,delta_all,serotonin,5HT4,subcortical,19,0.3018,0.209283,0.339596,False,-0.1909,0.673
fdg,delta_all,serotonin,5HT6,subcortical,19,0.2456,0.310793,0.41439,False,-0.2486,0.6384
fdg,delta_all,serotonin,5HTT,subcortical,19,0.3877,0.100965,0.242316,False,-0.0953,0.723
fdg,delta_all,glutamate,mGluR5,cortical,62,-0.3344,0.007889,0.031556,True,-0.5446,-0.0848
fdg,delta_all,glutamate,NMDA,cortical,62,0.098,0.44843,0.597907,False,-0.163,0.3462
fdg,delta_all,glutamate,mGluR5,subcortical,19,0.2298,0.34388,0.597907,False,-0.2643,0.6284
fdg,delta_all,glutamate,NMDA,subcortical,19,-0.0193,0.937498,0.937498,False,-0.4808,0.4505
fdg,delta_declining,dopamine,D1,cortical,62,0.0008,0.995195,0.995195,False,-0.2562,0.2577
fdg,delta_declining,dopamine,D2,cortical,62,0.0585,0.651259,0.995195,False,-0.2014,0.3108
fdg,delta_declining,dopamine,DAT,cortical,62,0.2789,0.02816,0.168962,False,0.0237,0.5
fdg,delta_declining,dopamine,D1,subcortical,19,0.0053,0.982939,0.995195,False,-0.4617,0.4699
fdg,delta_declining,dopamine,D2,subcortical,19,-0.0825,0.73718,0.995195,False,-0.528,0.3987
fdg,delta_declining,dopamine,DAT,subcortical,19,0.2404,0.321602,0.964807,False,-0.2539,0.6351
fdg,delta_declining,ach,VAChT,cortical,62,0.2565,0.044198,0.265189,False,-0.0005,0.4817
fdg,delta_declining,ach,M1,cortical,62,0.0159,0.902441,0.902441,False,-0.242,0.2717
fdg,delta_declining,ach,A4B2,cortical,62,-0.0162,0.900288,0.902441,False,-0.272,0.2417
fdg,delta_declining,ach,VAChT,subcortical,19,-0.1509,0.537527,0.902441,False,-0.5762,0.3387
fdg,delta_declining,ach,M1,subcortical,19,-0.1193,0.626648,0.902441,False,-0.5543,0.3669
fdg,delta_declining,ach,A4B2,subcortical,19,0.0368,0.880971,0.902441,False,-0.4364,0.4942
fdg,delta_declining,gaba,GABAa-bz,cortical,62,-0.056,0.665348,0.90353,False,-0.3085,0.2038
fdg,delta_declining,gaba,GABAa,cortical,62,0.0284,0.82668,0.90353,False,-0.2302,0.2832
fdg,delta_declining,gaba,GABAa-bz,subcortical,19,0.0298,0.90353,0.90353,False,-0.4421,0.4888
fdg,delta_declining,gaba,GABAa,subcortical,19,0.1298,0.596303,0.90353,False,-0.3576,0.5617
fdg,delta_declining,serotonin,5HT1a,cortical,62,0.0215,0.868078,0.977254,False,-0.2367,0.2769
fdg,delta_declining,serotonin,5HT1b,cortical,62,-0.015,0.907675,0.977254,False,-0.2709,0.2428
fdg,delta_declining,serotonin,5HT2a,cortical,62,-0.2788,0.02819,0.11276,False,-0.5,-0.0236
fdg,delta_declining,serotonin,5HT4,cortical,62,-0.3225,0.010588,0.063528,False,-0.5351,-0.0714
fdg,delta_declining,serotonin,5HT6,cortical,62,0.095,0.462607,0.925215,False,-0.166,0.3436
fdg,delta_declining,serotonin,5HTT,cortical,62,0.4761,9.2e-05,0.001103,True,0.2497,0.6531
fdg,delta_declining,serotonin,5HT1a,subcortical,19,0.0491,0.841712,0.977254,False,-0.4264,0.5034
fdg,delta_declining,serotonin,5HT1b,subcortical,19,0.4035,0.086681,0.260042,False,-0.0767,0.7318
fdg,delta_declining,serotonin,5HT2a,subcortical,19,0.0386,0.875344,0.977254,False,-0.435,0.4955
fdg,delta_declining,serotonin,5HT4,subcortical,19,-0.007,0.977254,0.977254,False,-0.4713,0.4603
fdg,delta_declining,serotonin,5HT6,subcortical,19,-0.1298,0.596303,0.977254,False,-0.5617,0.3576
fdg,delta_declining,serotonin,5HTT,subcortical,19,0.3228,0.177665,0.426397,False,-0.1683,0.6855
fdg,delta_declining,glutamate,mGluR5,cortical,62,-0.2163,0.091249,0.182498,False,-0.4483,0.043
fdg,delta_declining,glutamate,NMDA,cortical,62,0.2242,0.079746,0.182498,False,-0.0347,0.455
fdg,delta_declining,glutamate,mGluR5,subcortical,19,-0.1614,0.509171,0.532752,False,-0.5833,0.3291
fdg,delta_declining,glutamate,NMDA,subcortical,19,-0.1526,0.532752,0.532752,False,-0.5774,0.3371
fdg,baseline_all,dopamine,D1,cortical,62,-0.3986,0.001333,0.002665,True,-0.5946,-0.1578
fdg,baseline_all,dopamine,D2,cortical,62,-0.674,0.0,0.0,True,-0.7935,-0.5045
fdg,baseline_all,dopamine,DAT,cortical,62,-0.5455,5e-06,1.4e-05,True,-0.7038,-0.3356
fdg,baseline_all,dopamine,D1,subcortical,19,0.486,0.034898,0.041878,True,0.0261,0.7761
fdg,baseline_all,dopamine,D2,subcortical,19,0.5737,0.010223,0.015334,True,0.1472,0.8203
fdg,baseline_all,dopamine,DAT,subcortical,19,0.2649,0.273051,0.273051,False,-0.2292,0.6504
fdg,baseline_all,ach,VAChT,cortical,62,-0.0847,0.512582,0.512582,False,-0.3344,0.176
fdg,baseline_all,ach,M1,cortical,62,0.2721,0.032404,0.060741,False,0.0163,0.4945
fdg,baseline_all,ach,A4B2,cortical,62,0.367,0.003343,0.020057,True,0.1216,0.5702
fdg,baseline_all,ach,VAChT,subcortical,19,0.5842,0.008625,0.025874,True,0.1627,0.8254
fdg,baseline_all,ach,M1,subcortical,19,0.4737,0.040494,0.060741,False,0.0101,0.7697
fdg,baseline_all,ach,A4B2,subcortical,19,0.2772,0.250589,0.300707,False,-0.2166,0.658
fdg,baseline_all,gaba,GABAa-bz,cortical,62,0.2641,0.038037,0.152146,False,0.0077,0.488
fdg,baseline_all,gaba,GABAa,cortical,62,0.0603,0.641747,0.855663,False,-0.1998,0.3124
fdg,baseline_all,gaba,GABAa-bz,subcortical,19,0.3667,0.122561,0.245121,False,-0.1195,0.711
fdg,baseline_all,gaba,GABAa,subcortical,19,0.0228,0.926161,0.926161,False,-0.4477,0.4835
fdg,baseline_all,serotonin,5HT1a,cortical,62,-0.7304,0.0,0.0,True,-0.8313,-0.5829
fdg,baseline_all,serotonin,5HT1b,cortical,62,0.632,0.0,0.0,True,0.4478,0.7647
fdg,baseline_all,serotonin,5HT2a,cortical,62,0.2462,0.053735,0.092118,False,-0.0115,0.4732
fdg,baseline_all,serotonin,5HT4,cortical,62,-0.4481,0.00026,0.001041,True,-0.6322,-0.216
fdg,baseline_all,serotonin,5HT6,cortical,62,0.2604,0.040941,0.081882,False,0.0037,0.4849
fdg,baseline_all,serotonin,5HTT,cortical,62,-0.3689,0.00317,0.009509,True,-0.5717,-0.1237
fdg,baseline_all,serotonin,5HT1a,subcortical,19,-0.1772,0.46802,0.624027,False,-0.594,0.3146
fdg,baseline_all,serotonin,5HT1b,subcortical,19,-0.0228,0.926161,0.971569,False,-0.4835,0.4477
fdg,baseline_all,serotonin,5HT2a,subcortical,19,0.1035,0.673252,0.807902,False,-0.3806,0.5431
fdg,baseline_all,serotonin,5HT4,subcortical,19,0.3404,0.153919,0.230879,False,-0.1491,0.6958
fdg,baseline_all,serotonin,5HT6,subcortical,19,0.493,0.031982,0.076756,False,0.0353,0.7797
fdg,baseline_all,serotonin,5HTT,subcortical,19,-0.0088,0.971569,0.971569,False,-0.4726,0.4589
fdg,baseline_all,glutamate,mGluR5,cortical,62,-0.0061,0.962661,0.962661,False,-0.2626,0.2513
fdg,baseline_all,glutamate,NMDA,cortical,62,-0.0265,0.837901,0.962661,False,-0.2815,0.232
fdg,baseline_all,glutamate,mGluR5,subcortical,19,0.5175,0.023238,0.046476,True,0.0682,0.7923
fdg,baseline_all,glutamate,NMDA,subcortical,19,0.5544,0.013769,0.046476,True,0.1194,0.8108
fdg,baseline_declining,dopamine,D1,cortical,62,-0.4056,0.001073,0.002147,True,-0.6,-0.166
fdg,baseline_declining,dopamine,D2,cortical,62,-0.6741,0.0,0.0,True,-0.7936,-0.5045
fdg,baseline_declining,dopamine,DAT,cortical,62,-0.5248,1.2e-05,3.6e-05,True,-0.6889,-0.3096
fdg,baseline_declining,dopamine,D1,subcortical,19,0.4789,0.038017,0.045621,True,0.0169,0.7724
fdg,baseline_declining,dopamine,D2,subcortical,19,0.5667,0.011415,0.017122,True,0.137,0.8169
fdg,baseline_declining,dopamine,DAT,subcortical,19,0.2842,0.238296,0.238296,False,-0.2093,0.6623
fdg,baseline_declining,ach,VAChT,cortical,62,-0.0232,0.857996,0.857996,False,-0.2785,0.2351
fdg,baseline_declining,ach,M1,cortical,62,0.2568,0.043897,0.065846,False,-0.0001,0.482
fdg,baseline_declining,ach,A4B2,cortical,62,0.3758,0.002609,0.015657,True,0.1316,0.577
fdg,baseline_declining,ach,VAChT,subcortical,19,0.5632,0.012052,0.036155,True,0.132,0.8151
fdg,baseline_declining,ach,M1,subcortical,19,0.4754,0.039655,0.065846,False,0.0124,0.7706
fdg,baseline_declining,ach,A4B2,subcortical,19,0.3281,0.170297,0.204356,False,-0.1626,0.6886
fdg,baseline_declining,gaba,GABAa-bz,cortical,62,0.2263,0.076939,0.241291,False,-0.0325,0.4567
fdg,baseline_declining,gaba,GABAa,cortical,62,0.026,0.841244,0.886603,False,-0.2325,0.281
fdg,baseline_declining,gaba,GABAa-bz,subcortical,19,0.3684,0.120645,0.241291,False,-0.1175,0.712
fdg,baseline_declining,gaba,GABAa,subcortical,19,0.0351,0.886603,0.886603,False,-0.4379,0.4928
fdg,baseline_declining,serotonin,5HT1a,cortical,62,-0.7336,0.0,0.0,True,-0.8335,-0.5874
fdg,baseline_declining,serotonin,5HT1b,cortical,62,0.611,0.0,1e-06,True,0.4201,0.7502
fdg,baseline_declining,serotonin,5HT2a,cortical,62,0.1864,0.146956,0.251925,False,-0.0741,0.423
fdg,baseline_declining,serotonin,5HT4,cortical,62,-0.5008,3.4e-05,0.000136,True,-0.6713,-0.2799
fdg,baseline_declining,serotonin,5HT6,cortical,62,0.2333,0.068004,0.136008,False,-0.0251,0.4625
fdg,baseline_declining,serotonin,5HTT,cortical,62,-0.325,0.009963,0.029888,True,-0.5371,-0.0742
fdg,baseline_declining,serotonin,5HT1a,subcortical,19,-0.1351,0.581362,0.697634,False,-0.5653,0.3529
fdg,baseline_declining,serotonin,5HT1b,subcortical,19,0.0211,0.931828,0.931828,False,-0.4492,0.4821
fdg,baseline_declining,serotonin,5HT2a,subcortical,19,0.1351,0.581362,0.697634,False,-0.3529,0.5653
fdg,baseline_declining,serotonin,5HT4,subcortical,19,0.2982,0.21489,0.322335,False,-0.1946,0.6708
fdg,baseline_declining,serotonin,5HT6,subcortical,19,0.4667,0.043988,0.10557,False,0.0011,0.766
fdg,baseline_declining,serotonin,5HTT,subcortical,19,0.0333,0.892241,0.931828,False,-0.4393,0.4915
