label;region;5HT1a;5HT1b;5HT2a;5HT4;5HT6;5HTT;A4B2;D1;D2;DAT;GABAa-bz;GABAa;M1;NMDA;VAChT;mGluR5
2;Left-Cerebral-White-Matter;-0,098000682;0,165651859;0,44290418;0,274483704;0,271906757;-0,289408774;-0,110495866;-0,462657795;-0,300520277;-0,263054637;-0,228888354;-0,330973001;-0,244685187;-0,174011785;-0,335289093;-0,147266447
4;Left-Lateral-Ventricle;-1,52464058;-1,687567076;-1,296617546;-0,511750096;-1,367740035;-0,681104335;-1,507222143;-0,22915174;0,058618617;0,400250435;-1,712970132;-1,925870148;-1,38227486;-2,355780253;-0,603719523;-1,960476192
5;Left-Inf-Lat-Vent;0,561025147;-0,897283056;-0,985215892;-0,595418477;-0,089192704;-0,37182418;-0,609816005;-0,603689939;-0,177607692;0,330763099;-0,544787501;-0,525553446;-0,348312647;-1,196812222;-0,244896396;-0,550750583
7;Left-Cerebellum-White-Matter;-1,578403692;-1,82860911;-1,631679891;-1,639181182;-1,118736523;-1,212029824;1,178194758;-1,170728406;-0,772764514;-0,474547068;-0,846772897;-1,152561043;-1,957671616;0,182836838;-0,183819649;-1,775167835
8;Left-Cerebellum-Cortex;-1,263570503;-1,769100374;-1,444880356;-1,557435624;-1,399851036;-1,264544971;0,978658372;-1,078110147;-0,773622768;-0,663290669;-0,798531104;-0,343283506;-1,940539087;-0,161467169;-0,222352151;-1,741008279
10;Left-Thalamus-Proper;-1,40493532;-0,843480616;-1,279836192;-0,549328544;-0,969922746;2,130141396;4,651692268;-0,262579936;0,560915629;0,675072402;-1,237354696;-1,339532551;-1,392435659;1,662750268;0,676729875;-0,538904232
11;Left-Caudate;-1,529023644;-0,600098197;-1,419431093;2,723542535;1,838473642;0,80213111;-0,030227733;3,015808247;3,366973113;2,342688344;-1,105541326;-1,434136213;1,103170462;1,20056667;3,452950583;0,246112762
12;Left-Putamen;-0,689807002;0,508716584;-0,842321791;3,589471327;3,242073452;2,342064118;0,630272296;3,950200588;4,279441202;2,836084015;0,098583006;-0,598437589;2,198736477;1,756848833;4,681203;0,949688469
13;Left-Pallidum;-1,42552399;1,713843295;-1,319817972;3,627294172;0,95198569;2,936521464;0,498821597;2,551675024;2,311972537;3,819428844;-0,879588414;-1,08165262;-0,377199234;1,577053758;1,753896488;-0,448580019
14;3rd-Ventricle;-1,118196989;-0,390906438;-1,545300438;-0,715727025;-1,647925371;3,359815939;1,677533629;-1,066138854;0,601975663;0,76707611;-1,62517702;-1,427042917;-1,639058378;-1,594647295;-0,085557657;-1,65072902
15;4th-Ventricle;-1,292375803;-1,755443845;-1,539399567;-1,613551738;-1,985476499;-0,550085633;-0,388155515;-1,027398286;-0,672696956;-0,258065556;-1,996418501;-1,498489841;-2,068727022;-1,437494648;-0,287833784;-2,432951906
16;Brain-Stem;-1,297897543;-1,369114817;-1,589645754;-1,136968788;-1,662400338;1,263384434;0,883396504;-0,992798557;-0,489433558;-0,136224992;-2,36354355;-2,149761305;-1,944672863;-0,526438522;-0,181026065;-1,914131186
17;Left-Hippocampus;1,749783297;-1,070543718;-0,838274832;-0,100128859;-0,503897794;-0,187974557;-0,268319594;-0,316889853;-0,232520714;0,298273246;-0,27199095;0,043762005;-0,283632162;1,224901456;0,208658175;0,058556164
18;Left-Amygdala;1,179063534;-0,342985905;-0,805707137;-0,202005553;-0,378134696;1,295411537;-0,455228711;0,165361843;0,364695545;0,632522219;-0,607070941;0,016170118;0,559434855;0,464746455;0,602768518;0,173857923
24;CSF;-1,331518924;-1,344672495;-1,474436262;-1,265208305;-2,007533798;0,636097696;1,023835678;-0,84312905;0,096445832;0,180594134;-1,342913933;-1,338817733;-1,71620175;-1,160763364;-0,410819036;-1,478151049
26;Left-Accumbens-area;-0,638049814;1,087871566;-0,7075621;1,127082178;1,136531208;1,642057579;0,62257036;3,122726258;2,783157492;3,684531965;0,37883849;0,178615751;2,369176793;1,185849102;2,980025385;0,907496375
28;Left-VentralDC;-1,105627895;-0,313845942;-1,4011746;-0,643175784;-1,272578976;1,972933703;2,213509744;-0,494949645;0,221775902;0,80065679;-1,931879929;-1,651640455;-1,587820527;-0,285502184;0,161122082;-1,437424429
31;nan;-1,472665287;-1,364006289;-1,294101834;-1,449400389;-1,639707385;-0,860070249;-0,784792016;-0,526761896;-0,450135127;-0,100261925;-1,836313264;-1,810799224;-1,626241363;-1,60505631;-0,547782946;-1,935515891
41;Right-Cerebral-White-Matter;-0,157534451;0,16880478;0,342586987;0,165404244;0,205551292;-0,303904238;-0,003936751;-0,37981845;-0,302085124;-0,200973182;-0,314572437;-0,360401151;-0,202061069;-0,111015286;-0,335891826;-0,135417269
43;Right-Lateral-Ventricle;-1,381101683;-1,755049525;-1,088444461;-0,930935663;-1,315810047;-0,70373294;-1,43974778;-0,763914125;-0,068721816;0,092571211;-1,385897989;-1,729600549;-1,467625362;-2,460459628;-0,764649533;-1,951594114
44;Right-Inf-Lat-Vent;1,453907244;-0,856630768;-0,93297175;-0,653483374;-0,133532974;-0,391677477;-0,340743073;-0,600475408;-0,147733851;0,445537835;-0,677383128;-0,672201245;-0,190065347;-0,281883949;-0,189313789;-0,458265349
46;Right-Cerebellum-White-Matter;-1,578640829;-1,825905959;-1,651464643;-1,646671673;-1,102566676;-1,126084408;1,203808575;-1,213530712;-0,772740089;-0,422179861;-1,167827268;-1,258133939;-1,957677852;0,130724476;-0,148652385;-1,760730327
47;Right-Cerebellum-Cortex;-1,343904593;-1,772604762;-1,503845404;-1,574441177;-1,319047413;-1,275329301;1,208959378;-1,146342612;-0,766393925;-0,629984856;-0,864277899;-0,417619946;-1,899735373;-0,096421461;-0,203546289;-1,763654938
