receptor,mean,sd,median,iqr,min,max,mean_cortical,mean_subcortical,sub_minus_cort
D1,3.999997222337015e-11,1.0050378151809216,-0.2053625175,0.571578771,-1.213530712,4.446769416,-0.06036102891935483,0.9854601558421052,1.04582118476146
D2,-2.9999986939088784e-11,0.9925514671376354,-0.29781725000000003,0.34445243049999996,-0.776370676,4.358821139,-0.31173782474193545,1.299615764473684,1.6113535892156197
DAT,4.000001552206811e-11,1.0003245432126813,-0.300088274,0.65982898925,-0.893329834,3.819428844,-0.43818692535483866,1.4193195361578947,1.8575064615127335
VAChT,-2.0000016642818253e-11,0.9971800476646092,-0.2941095575,0.338957685,-0.937161526,4.681203,-0.2809631158064516,1.4008729502105262,1.6818360660169778
M1,-2.999999693109601e-11,1.0050378152949457,0.306246433,0.9673198064999999,-2.068727022,2.369176793,0.43740774233870977,-0.08412000305263159,-0.5215277453913414
A4B2,-4.0000004419837866e-11,1.0050378152700676,-0.17416419249999998,0.8539044855,-1.718580867,4.961043597,-0.1760992975483871,1.0234386628947367,1.1995379604431238
GABAa-bz,4.9999967499658736e-11,1.0050378152392458,0.30183608500000003,1.5109871775000001,-2.36354355,2.015077703,0.6200005492741938,-0.8874710844736841,-1.507471633747878
GABAa,1.99999916628002e-11,1.0050378152489534,0.417536633,1.402580951,-2.149761305,1.638124915,0.6760864865806451,-0.7957297147368422,-1.4718162013174871
5HT1a,5.999996499639337e-11,0.9962825375913932,0.11879580199999999,1.815661681,-1.628522437,2.301869218,0.48174328451612897,-0.6196051343684211,-1.1013484188845502
5HT1b,7.216449660063518e-18,0.9696062398083283,0.280482634,1.4732238287500001,-1.832844103,2.289720175,0.46732552645161285,-0.2573849183157895,-0.7247104447674024
5HT2a,-9.999975292274144e-12,0.9895594463062779,0.5363990595,1.8471450489999999,-1.753353606,1.163343902,0.7162749146290324,-1.1856229293684213,-1.9018978439974537
5HT4,1.8041124150158794e-17,1.0050378152382184,0.0523376025,0.7216682050000001,-1.770564061,3.944830614,0.11354517911290322,0.6553733075789473,0.5418281284660441
5HT6,-9.99998639450439e-12,1.0050378152906718,0.060105844,1.018726103,-2.087451043,3.242073452,0.2867751796129032,0.2239988454736842,-0.06277633413921901
5HTT,-5.0000008577910646e-11,0.9908666579147855,-0.3181327975,0.76511626125,-1.360217184,3.359815939,-0.25064448011290325,1.2671786354210526,1.5178231155339559
mGluR5,2.6645352591003756e-17,0.9897370580118031,0.32328449550000005,1.12254439975,-2.432951906,1.251616157,0.5642398098064517,-0.34394789157894734,-0.9081877013853991
NMDA,-2.9999989159534835e-11,1.0050378152418329,-0.0140646925,1.243215029,-2.460459628,1.881964873,0.1651271989354839,0.7810378178947368,0.6159106189592529
