,D1,D2,DAT,VAChT,M1,A4B2,GABAa-bz,GABAa,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,mGluR5,NMDA
D1,1.0,0.9420389131852518,0.88514478598409,0.9274993156328479,0.575284605055657,0.06330114722681236,-0.0732114262217356,-0.28032100066614934,-0.2857519220273168,0.21402876734503665,-0.3482906804370881,0.8677236704698559,0.7712036788722391,0.5775978254666403,0.28594364382054854,0.5552069436527942
D2,0.9420389131852518,1.0,0.9286809498565936,0.9734210983779519,0.3977173736087245,0.22601602772053903,-0.34276045708176883,-0.5291997619465025,-0.41578266374300826,0.04171674249248926,-0.5697293356803463,0.8243378908217707,0.6395843511404458,0.6894297131397807,0.03342551504635197,0.47707047642694883
DAT,0.88514478598409,0.9286809498565936,1.0,0.900359811122942,0.24507303390850418,0.27212469205064965,-0.3838810002714358,-0.5568888158253339,-0.4108212458526802,0.07059706543802031,-0.6563307552661405,0.7369897787553015,0.49991740689427416,0.8025405426686618,-0.0700554045304837,0.5534478053875964
VAChT,0.9274993156328479,0.9734210983779519,0.900359811122942,1.0,0.3860506683791097,0.26578645828011893,-0.3031492756832547,-0.5244803724326587,-0.43403299928868494,-0.003362997676409079,-0.5991031469201642,0.756680705923019,0.6222817635540498,0.6610036242428474,0.045836078083621654,0.5404792320192915
M1,0.575284605055657,0.3977173736087245,0.24507303390850418,0.3860506683791097,1.0,-0.41068820395326233,0.5316359948155678,0.4658462061630413,0.23701601012576803,0.5526832409295795,0.42426022893885945,0.5295646280888354,0.7882608707178933,-0.07033316179919179,0.8128985778469427,0.21784229884055473
A4B2,0.06330114722681236,0.22601602772053903,0.27212469205064965,0.26578645828011893,-0.41068820395326233,1.0,-0.37578702882477283,-0.5569850816387187,-0.5469762410722423,-0.14705733390908793,-0.49390239636086875,-0.08977667856468258,-0.12045900265670717,0.5039814954526962,-0.3504455423307541,0.3448938911466081
GABAa-bz,-0.0732114262217356,-0.34276045708176883,-0.3838810002714358,-0.3031492756832547,0.5316359948155678,-0.37578702882477283,1.0,0.8711347289995592,0.30233631793253085,0.6245202024209533,0.8252435429615436,-0.0781819830882748,0.38739073695143855,-0.5195063302065395,0.7664188677627777,0.10443378543761084
GABAa,-0.28032100066614934,-0.5291997619465025,-0.5568888158253339,-0.5244803724326587,0.4658462061630413,-0.5569850816387187,0.8711347289995592,1.0,0.6056387957186192,0.44721282228503895,0.8880651541262242,-0.24963715371627643,0.15999864507390057,-0.6519215781289599,0.6919327018369732,-0.09072633930685313
5HT1a,-0.2857519220273168,-0.41578266374300826,-0.4108212458526802,-0.43403299928868494,0.23701601012576803,-0.5469762410722423,0.30233631793253085,0.6056387957186192,1.0,-0.09643995191637404,0.5307272169374795,-0.18541886810170027,-0.09003151128320601,-0.37619750118395023,0.4883886174805726,-0.1381663419417841
5HT1b,0.21402876734503665,0.04171674249248926,0.07059706543802031,-0.003362997676409079,0.5526832409295795,-0.14705733390908793,0.6245202024209533,0.44721282228503895,-0.09643995191637404,1.0,0.523604811532636,0.3109786947909417,0.5453817762093147,-0.015021141288159836,0.5480863842346018,0.11005828585610916
5HT2a,-0.3482906804370881,-0.5697293356803463,-0.6563307552661405,-0.5991031469201642,0.42426022893885945,-0.49390239636086875,0.8252435429615436,0.8880651541262242,0.5307272169374795,0.523604811532636,1.0,-0.18109260958623483,0.15425977432768712,-0.6675472610130418,0.6897449777019715,-0.2624397814815901
5HT4,0.8677236704698559,0.8243378908217707,0.7369897787553015,0.756680705923019,0.5295646280888354,-0.08977667856468258,-0.0781819830882748,-0.24963715371627643,-0.18541886810170027,0.3109786947909417,-0.18109260958623483,1.0,0.7589143534598308,0.47003077130931803,0.2999659852934339,0.3456501936511592
5HT6,0.7712036788722391,0.6395843511404458,0.49991740689427416,0.6222817635540498,0.7882608707178933,-0.12045900265670717,0.38739073695143855,0.15999864507390057,-0.09003151128320601,0.5453817762093147,0.15425977432768712,0.7589143534598308,1.0,0.18805523077692915,0.6294074116153993,0.4691991488744192
5HTT,0.5775978254666403,0.6894297131397807,0.8025405426686618,0.6610036242428474,-0.07033316179919179,0.5039814954526962,-0.5195063302065395,-0.6519215781289599,-0.37619750118395023,-0.015021141288159836,-0.6675472610130418,0.47003077130931803,0.18805523077692915,1.0,-0.24608167711649845,0.502310656253966
mGluR5,0.28594364382054854,0.03342551504635197,-0.0700554045304837,0.045836078083621654,0.8128985778469427,-0.3504455423307541,0.7664188677627777,0.6919327018369732,0.4883886174805726,0.5480863842346018,0.6897449777019715,0.2999659852934339,0.6294074116153993,-0.24608167711649845,1.0,0.265670435915624
NMDA,0.5552069436527942,0.47707047642694883,0.5534478053875964,0.5404792320192915,0.21784229884055473,0.3448938911466081,0.10443378543761084,-0.09072633930685313,-0.1381663419417841,0.11005828585610916,-0.2624397814815901,0.3456501936511592,0.4691991488744192,0.502310656253966,0.265670435915624,1.0
