,D1,D2,DAT,VAChT,M1,A4B2,GABAa-bz,GABAa,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,mGluR5,NMDA
D1,1.0,0.4702070207020702,0.2859285928592859,0.48104410441044104,0.7196879687968797,0.1824062406240624,0.5162796279627963,0.5406660666066606,0.3943954395439544,0.564968496849685,0.4401200120012001,0.7230924785285426,0.740966096609661,0.5397659765976598,0.7264206420642064,0.7313051305130513
D2,0.4702070207020702,1.0,0.6857965796579658,0.444980498049805,0.27447944794479445,0.1611881188118812,-0.22676267626762675,-0.12592859285928593,0.19245124512451245,-0.005028502850285029,-0.10977497749774978,0.4484861940800086,0.2783678367836784,0.5753615361536154,0.15747974797479747,0.2732673267326733
DAT,0.2859285928592859,0.6857965796579658,1.0,0.5252445244524453,-0.11092709270927092,0.14445844584458445,-0.4078967896789679,-0.4025082508250825,-0.13287728772877289,-0.2672307230723072,-0.5223522352235224,-0.022184284981452928,-0.011893189318931893,0.6554455445544555,-0.1828022802280228,0.3004860486048605
VAChT,0.48104410441044104,0.444980498049805,0.5252445244524453,1.0,0.2416921692169217,0.6488568856885688,-0.010129012901290129,-0.04088808880888089,0.07201920192019202,0.1696009600960096,-0.18420642064206422,0.25896867377456423,0.353963396339634,0.6682748274827482,0.3031983198319832,0.7197599759975998
M1,0.7196879687968797,0.27447944794479445,-0.11092709270927092,0.2416921692169217,1.0,0.12536453645364537,0.6120852085208521,0.6254545454545455,0.4178337833783378,0.6772277227722773,0.6633423342334234,0.6887029364055492,0.8084608460846084,0.24356435643564356,0.8066726672667267,0.504998499849985
A4B2,0.1824062406240624,0.1611881188118812,0.14445844584458445,0.6488568856885688,0.12536453645364537,1.0,0.03683168316831683,-0.0213981398139814,-0.18717071707170718,0.3178157815781578,-0.06154215421542154,0.11500784580863586,0.32686468646864686,0.33077707770777076,0.2344074407440744,0.4368916891689169
GABAa-bz,0.5162796279627963,-0.22676267626762675,-0.4078967896789679,-0.010129012901290129,0.6120852085208521,0.03683168316831683,1.0,0.8912571257125712,0.4506690669066907,0.7248604860486049,0.8135493549354935,0.4037215833248994,0.6276507650765076,0.008196819681968196,0.8004080408040805,0.4128532853285328
GABAa,0.5406660666066606,-0.12592859285928593,-0.4025082508250825,-0.04088808880888089,0.6254545454545455,-0.0213981398139814,0.8912571257125712,1.0,0.6085208520852086,0.6447284728472847,0.863954395439544,0.4396112799638147,0.5614641464146415,0.05561356135613561,0.7643204320432043,0.39545154515451547
5HT1a,0.3943954395439544,0.19245124512451245,-0.13287728772877289,0.07201920192019202,0.4178337833783378,-0.18717071707170718,0.4506690669066907,0.6085208520852086,1.0,0.23522352235223523,0.6071407140714071,0.4120564418153614,0.2583978397839784,0.1339093909390939,0.5581998199819982,0.20547254725472547
5HT1b,0.564968496849685,-0.005028502850285029,-0.2672307230723072,0.1696009600960096,0.6772277227722773,0.3178157815781578,0.7248604860486049,0.6447284728472847,0.23522352235223523,1.0,0.6925292529252925,0.5762813569823627,0.7669126912691269,0.19488748874887488,0.7322532253225322,0.41548154815481547
5HT2a,0.4401200120012001,-0.10977497749774978,-0.5223522352235224,-0.18420642064206422,0.6633423342334234,-0.06154215421542154,0.8135493549354935,0.863954395439544,0.6071407140714071,0.6925292529252925,1.0,0.5485825040003809,0.5587638763876388,-0.10447044704470447,0.7483708370837083,0.20348034803480347
5HT4,0.7230924785285426,0.4484861940800086,-0.022184284981452928,0.25896867377456423,0.6887029364055492,0.11500784580863586,0.4037215833248994,0.4396112799638147,0.4120564418153614,0.5762813569823627,0.5485825040003809,1.0,0.7299931893017834,0.2979726911885334,0.692855364105621,0.39594478231436026
5HT6,0.740966096609661,0.2783678367836784,-0.011893189318931893,0.353963396339634,0.8084608460846084,0.32686468646864686,0.6276507650765076,0.5614641464146415,0.2583978397839784,0.7669126912691269,0.5587638763876388,0.7299931893017834,1.0,0.32283228322832286,0.75998799879988,0.6181698169816982
5HTT,0.5397659765976598,0.5753615361536154,0.6554455445544555,0.6682748274827482,0.24356435643564356,0.33077707770777076,0.008196819681968196,0.05561356135613561,0.1339093909390939,0.19488748874887488,-0.10447044704470447,0.2979726911885334,0.32283228322832286,1.0,0.2276027602760276,0.5605880588058806
mGluR5,0.7264206420642064,0.15747974797479747,-0.1828022802280228,0.3031983198319832,0.8066726672667267,0.2344074407440744,0.8004080408040805,0.7643204320432043,0.5581998199819982,0.7322532253225322,0.7483708370837083,0.692855364105621,0.75998799879988,0.2276027602760276,1.0,0.5477467746774678
NMDA,0.7313051305130513,0.2732673267326733,0.3004860486048605,0.7197599759975998,0.504998499849985,0.4368916891689169,0.4128532853285328,0.39545154515451547,0.20547254725472547,0.41548154815481547,0.20348034803480347,0.39594478231436026,0.6181698169816982,0.5605880588058806,0.5477467746774678,1.0
