region,hemisphere,label,x,y,z
ctx-lh-caudalanteriorcingulate,lh,1002,-6.520046893317698,18.686752637749123,31.056506447831183
ctx-lh-caudalmiddlefrontal,lh,1003,-37.85257098253488,12.21982632451946,47.12196311835301
ctx-lh-cuneus,lh,1005,-9.789871637066994,-79.97907508352382,22.795498505363113
ctx-lh-entorhinal,lh,1006,-24.637583892617457,-6.149748322147644,-33.086828859060404
ctx-lh-fusiform,lh,1007,-36.376058868828615,-47.84341576110208,-20.26841790023103
ctx-lh-inferiorparietal,lh,1008,-43.82723177463359,-69.40961867901783,33.025252204809334
ctx-lh-inferiortemporal,lh,1009,-48.91033415841584,-27.111324257425736,-29.933910891089106
ctx-lh-isthmuscingulate,lh,1010,-7.861141602634461,-46.11498353457739,18.811196487376506
ctx-lh-lateraloccipital,lh,1011,-33.44596115958345,-87.97445820433437,1.0754995778215601
ctx-lh-lateralorbitofrontal,lh,1012,-23.689749138414683,35.183056824557184,-19.372605594293503
ctx-lh-lingual,lh,1013,-14.337470382489002,-68.97743427733273,-6.018503892587162
ctx-lh-medialorbitofrontal,lh,1014,-5.67591615141005,36.00769114763986,-18.888553762630067
ctx-lh-middletemporal,lh,1015,-58.49096622152396,-28.45372210156647,-12.0667251975417
ctx-lh-parahippocampal,lh,1016,-24.76988217967599,-31.351620029455077,-18.82621502209131
ctx-lh-paracentral,lh,1017,-7.358938329430131,-25.49555035128806,58.4863387978142
ctx-lh-parsopercularis,lh,1018,-49.18165952720926,14.994764397905755,12.32095827383786
ctx-lh-parsorbitalis,lh,1019,-43.16039279869067,31.555482815057275,-12.882160392798689
ctx-lh-parstriangularis,lh,1020,-48.58755760368663,31.98141321044548,3.365745007680488
ctx-lh-pericalcarine,lh,1021,-12.874146757679185,-81.1962457337884,6.136092150170654
ctx-lh-postcentral,lh,1022,-45.36951452194191,-23.248533672531977,44.000282665536005
ctx-lh-posteriorcingulate,lh,1023,-6.258828504969344,-19.47240431380841,38.55423979699725
ctx-lh-precentral,lh,1024,-42.907918758557734,-7.691293929712458,42.41430853491556
ctx-lh-precuneus,lh,1025,-9.205220853919329,-59.055453137674206,39.077870363542516
ctx-lh-rostralanteriorcingulate,lh,1026,-6.116682286785377,35.39784442361761,1.0890346766635446
ctx-lh-rostralmiddlefrontal,lh,1027,-39.58076487608504,43.14486098880363,16.77544345200654
ctx-lh-superiorfrontal,lh,1028,-13.91791989868608,36.406495699435396,36.359268640177305
ctx-lh-superiorparietal,lh,1029,-26.04544842445462,-63.61708860759494,51.83200915701589
ctx-lh-superiortemporal,lh,1030,-50.627826516742864,-9.104328843856834,-9.588821615387786
ctx-lh-supramarginal,lh,1031,-56.32258945643267,-36.79588910133843,34.65289538377492
ctx-lh-transversetemporal,lh,1034,-46.043832185347526,-19.986224170319346,7.501565435190983
ctx-lh-insula,lh,1035,-37.76236214870153,2.3847978180955636,-1.3878809439108295
ctx-rh-caudalanteriorcingulate,rh,2002,4.160296846011136,19.46679035250463,27.23413729128015
ctx-rh-caudalmiddlefrontal,rh,2003,36.51421825274613,12.046401806796013,47.703213222461756
ctx-rh-cuneus,rh,2005,7.932885906040269,-80.80841976815131,22.2841163310962
ctx-rh-entorhinal,rh,2006,23.224137931034477,-6.790773532152841,-33.41798695246971
ctx-rh-fusiform,rh,2007,35.246995763810844,-46.49822771678049,-20.78032333362151
ctx-rh-inferiorparietal,rh,2008,44.04909009211414,-67.97977982475848,31.64654010334756
ctx-rh-inferiortemporal,rh,2009,47.82740681804273,-27.57280127302772,-29.445253687496177
ctx-rh-isthmuscingulate,rh,2010,6.709232096635034,-45.83807880356629,19.047167098073047
ctx-rh-lateraloccipital,rh,2011,32.646839100711816,-87.86320389033759,0.6836986397913876
ctx-rh-lateralorbitofrontal,rh,2012,22.463058557831914,35.46144539441846,-19.408775608969187
ctx-rh-lingual,rh,2013,13.391314581617038,-69.13075203012828,-5.992467929857597
ctx-rh-medialorbitofrontal,rh,2014,4.430307941653155,35.741491085899526,-19.27779578606159
ctx-rh-middletemporal,rh,2015,57.75474466373231,-27.200908703677413,-12.938189218609494
ctx-rh-parahippocampal,rh,2016,23.659430604982205,-32.204270462633446,-18.064768683274025
ctx-rh-paracentral,rh,2017,6.530238433601767,-26.34170219485236,57.77956734564978
ctx-rh-parsopercularis,rh,2018,47.84231505102042,15.121014030612258,12.670121173469383
ctx-rh-parsorbitalis,rh,2019,42.46544778431979,33.26309265571737,-13.564920979237684
ctx-rh-parstriangularis,rh,2020,47.86160375928452,32.05108382598149,3.0774594512657245
ctx-rh-pericalcarine,rh,2021,10.902857142857144,-82.06163265306122,5.8444897959183635
ctx-rh-postcentral,rh,2022,44.394317938468134,-23.263616246698547,44.43721893068742
ctx-rh-posteriorcingulate,rh,2023,5.02545045045045,-19.561261261261265,38.549099099099095
