biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95,rho_spin_observed,p_spin,n_spin_regions,n_spin_lh,n_spin_rh,n_spins,spin_error,q_spin_fdr,spin_fdr_significant,spin_significant
fdg,delta_all,dopamine,D1,cortical,62,-0.1764,0.1701,0.402108,False,-0.4146,0.0843,-0.1764498501674599,0.3196803196803197,62,31,31,1000,,0.713952713952714,False,False
fdg,delta_all,dopamine,D2,cortical,62,-0.0717,0.579759,0.579759,False,-0.3227,0.1887,-0.07169298179345773,0.6343656343656343,62,31,31,1000,,0.905050505050505,False,False
fdg,delta_all,dopamine,DAT,cortical,62,0.1172,0.364426,0.494017,False,-0.1441,0.3632,0.11717156455390194,0.4565434565434565,62,31,31,1000,,0.8289015948590416,False,False
fdg,delta_all,ach,VAChT,cortical,62,0.162,0.208277,0.64467,False,-0.099,0.4022,0.16204578076603462,0.34165834165834164,62,31,31,1000,,0.7169224218404546,False,False
fdg,delta_all,ach,M1,cortical,62,-0.0471,0.716127,0.859353,False,-0.3004,0.2124,-0.047115408828787994,0.7772227772227772,62,31,31,1000,,0.9596498739355882,False,False
fdg,delta_all,ach,A4B2,cortical,62,-0.0188,0.88462,0.88462,False,-0.2744,0.2393,-0.018810908816197024,0.8871128871128872,62,31,31,1000,,0.9796817355872474,False,False
fdg,delta_all,gaba,GABAa-bz,cortical,62,-0.0997,0.440737,0.587649,False,-0.3477,0.1614,-0.09969529853189292,0.6173826173826173,62,31,31,1000,,0.905050505050505,False,False
fdg,delta_all,gaba,GABAa,cortical,62,-0.0481,0.710323,0.710323,False,-0.3013,0.2114,-0.048122686409307246,0.7822177822177823,62,31,31,1000,,0.9596498739355882,False,False
fdg,delta_all,serotonin,5HT1a,cortical,62,-0.0747,0.564108,0.620288,False,-0.3254,0.1858,-0.07466445065598953,0.6163836163836164,62,31,31,1000,,0.905050505050505,False,False
fdg,delta_all,serotonin,5HT1b,cortical,62,-0.0738,0.568598,0.620288,False,-0.3246,0.1867,-0.07380826471254816,0.6363636363636364,62,31,31,1000,,0.905050505050505,False,False
fdg,delta_all,serotonin,5HT2a,cortical,62,-0.2639,0.038189,0.114567,False,-0.4878,-0.0075,-0.2639319080355569,0.0939060939060939,62,31,31,1000,,0.3338883338883339,False,False
fdg,delta_all,serotonin,5HT4,cortical,62,-0.4418,0.000325,0.0039,True,-0.6275,-0.2085,-0.4417667648762308,0.012987012987012988,62,31,31,1000,,0.11873840445269017,False,True
fdg,delta_all,serotonin,5HT6,cortical,62,0.0089,0.945331,0.945331,False,-0.2486,0.2652,0.008889224648082396,0.955044955044955,62,31,31,1000,,0.9796817355872474,False,False
