neurotransmitter,biomarker,negative,positive,total,percent_positive,percent_negative
ach,fdg,0.0,4.0,4.0,100.0,0.0
ach,t1t2,2.0,0.0,2.0,0.0,100.0
ach,volume,0.0,4.0,4.0,100.0,0.0
dopamine,fdg,6.0,4.0,10.0,40.0,60.0
dopamine,t1t2,14.0,1.0,15.0,6.666666666666667,93.33333333333333
dopamine,thickness,4.0,0.0,4.0,0.0,100.0
dopamine,volume,4.0,7.0,11.0,63.63636363636363,36.36363636363637
gaba,t1t2,4.0,0.0,4.0,0.0,100.0
gaba,thickness,0.0,3.0,3.0,100.0,0.0
gaba,volume,0.0,4.0,4.0,100.0,0.0
glutamate,fdg,1.0,4.0,5.0,80.0,20.0
glutamate,t1t2,3.0,0.0,3.0,0.0,100.0
glutamate,thickness,0.0,1.0,1.0,100.0,0.0
glutamate,volume,0.0,1.0,1.0,100.0,0.0
serotonin,fdg,7.0,5.0,12.0,41.666666666666664,58.333333333333336
serotonin,t1t2,19.0,6.0,25.0,24.0,76.0
serotonin,thickness,8.0,3.0,11.0,27.272727272727273,72.72727272727273
serotonin,volume,10.0,11.0,21.0,52.38095238095238,47.61904761904762
