biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95,direction,time_type,population
fdg,delta_declining,serotonin,5HTT,cortical,62,0.4761,9.2e-05,0.001103,True,0.2497,0.6531,positive,delta,declining
fdg,baseline_declining,serotonin,5HT4,cortical,62,-0.5008,3.4e-05,0.000136,True,-0.6713,-0.2799,negative,baseline,declining
fdg,baseline_declining,dopamine,DAT,cortical,62,-0.5248,1.2e-05,3.6e-05,True,-0.6889,-0.3096,negative,baseline,declining
fdg,baseline_declining,dopamine,D1,subcortical,19,0.4789,0.038017,0.045621,True,0.0169,0.7724,positive,baseline,declining
fdg,baseline_all,dopamine,D1,subcortical,19,0.486,0.034898,0.041878,True,0.0261,0.7761,positive,baseline,all
fdg,baseline_declining,glutamate,NMDA,subcortical,19,0.5123,0.024931,0.049862,True,0.0611,0.7897,positive,baseline,declining
fdg,baseline_all,glutamate,mGluR5,subcortical,19,0.5175,0.023238,0.046476,True,0.0682,0.7923,positive,baseline,all
fdg,baseline_declining,glutamate,mGluR5,subcortical,19,0.5175,0.023238,0.049862,True,0.0682,0.7923,positive,baseline,declining
fdg,baseline_all,glutamate,NMDA,subcortical,19,0.5544,0.013769,0.046476,True,0.1194,0.8108,positive,baseline,all
fdg,baseline_declining,ach,VAChT,subcortical,19,0.5632,0.012052,0.036155,True,0.132,0.8151,positive,baseline,declining
fdg,baseline_declining,dopamine,D2,subcortical,19,0.5667,0.011415,0.017122,True,0.137,0.8169,positive,baseline,declining
fdg,baseline_all,dopamine,D2,subcortical,19,0.5737,0.010223,0.015334,True,0.1472,0.8203,positive,baseline,all
fdg,baseline_declining,serotonin,5HTT,cortical,62,-0.325,0.009963,0.029888,True,-0.5371,-0.0742,negative,baseline,declining
fdg,baseline_all,ach,VAChT,subcortical,19,0.5842,0.008625,0.025874,True,0.1627,0.8254,positive,baseline,all
fdg,delta_all,glutamate,mGluR5,cortical,62,-0.3344,0.007889,0.031556,True,-0.5446,-0.0848,negative,delta,all
fdg,baseline_all,ach,A4B2,cortical,62,0.367,0.003343,0.020057,True,0.1216,0.5702,positive,baseline,all
fdg,baseline_all,serotonin,5HTT,cortical,62,-0.3689,0.00317,0.009509,True,-0.5717,-0.1237,negative,baseline,all
fdg,delta_all,serotonin,5HTT,cortical,62,0.3729,0.002839,0.011356,True,0.1282,0.5747,positive,delta,all
fdg,baseline_declining,ach,A4B2,cortical,62,0.3758,0.002609,0.015657,True,0.1316,0.577,positive,baseline,declining
fdg,baseline_all,dopamine,D1,cortical,62,-0.3986,0.001333,0.002665,True,-0.5946,-0.1578,negative,baseline,all
fdg,baseline_declining,dopamine,D1,cortical,62,-0.4056,0.001073,0.002147,True,-0.6,-0.166,negative,baseline,declining
fdg,delta_all,serotonin,5HT1b,subcortical,19,0.6982,0.000885,0.005308,True,0.3445,0.8784,positive,delta,all
fdg,delta_all,serotonin,5HT4,cortical,62,-0.4418,0.000325,0.0039,True,-0.6275,-0.2085,negative,delta,all
fdg,baseline_all,serotonin,5HT4,cortical,62,-0.4481,0.00026,0.001041,True,-0.6322,-0.216,negative,baseline,all
fdg,baseline_declining,serotonin,5HT1b,cortical,62,0.611,0.0,1e-06,True,0.4201,0.7502,positive,baseline,declining
fdg,baseline_all,serotonin,5HT1b,cortical,62,0.632,0.0,0.0,True,0.4478,0.7647,positive,baseline,all
fdg,baseline_all,dopamine,D2,cortical,62,-0.674,0.0,0.0,True,-0.7935,-0.5045,negative,baseline,all
fdg,baseline_declining,dopamine,D2,cortical,62,-0.6741,0.0,0.0,True,-0.7936,-0.5045,negative,baseline,declining
fdg,baseline_all,serotonin,5HT1a,cortical,62,-0.7304,0.0,0.0,True,-0.8313,-0.5829,negative,baseline,all
fdg,baseline_declining,serotonin,5HT1a,cortical,62,-0.7336,0.0,0.0,True,-0.8335,-0.5874,negative,baseline,declining
fdg,baseline_all,dopamine,DAT,cortical,62,-0.5455,5e-06,1.4e-05,True,-0.7038,-0.3356,negative,baseline,all
t1t2,delta_declining,dopamine,D2,cortical,62,-0.481,7.6e-05,0.000227,True,-0.6568,-0.2557,negative,delta,declining
t1t2,delta_all,serotonin,5HT1b,cortical,62,0.4944,4.4e-05,0.000265,True,0.2721,0.6667,positive,delta,all
t1t2,delta_all,dopamine,DAT,cortical,62,-0.5066,2.7e-05,8e-05,True,-0.6756,-0.287,negative,delta,all
t1t2,baseline_all,ach,A4B2,cortical,62,-0.5159,1.8e-05,0.000106,True,-0.6824,-0.2985,negative,baseline,all
t1t2,baseline_declining,serotonin,5HTT,subcortical,19,0.8281,1.2e-05,4.8e-05,True,0.5897,0.9337,positive,baseline,declining
t1t2,baseline_all,serotonin,5HT1a,subcortical,19,-0.507,0.026719,0.040079,True,-0.787,-0.054,negative,baseline,all
t1t2,delta_all,serotonin,5HT6,subcortical,19,-0.5123,0.024931,0.049862,True,-0.7897,-0.0611,negative,delta,all
t1t2,delta_declining,serotonin,5HT4,cortical,62,-0.2857,0.024393,0.048787,True,-0.5055,-0.031,negative,delta,declining
